County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Atlantic,32.1,33.1,40.9,50.3,60.4,69.3,74.4,72.9,66.6,55.5,45.1,35.6
Bergen,28.7,29.8,38.5,49.4,60.1,68.9,74.0,72.0,65.0,53.8,43.0,32.9
Burlington,31.7,32.9,41.1,51.0,61.4,70.1,75.0,73.3,66.7,55.4,44.9,35.3
Camden,31.8,33.0,41.5,51.6,62.0,70.8,75.6,73.8,67.1,55.8,45.0,35.3
Cape May,33.1,33.8,41.3,50.3,60.3,69.1,74.3,73.2,67.2,56.4,46.0,36.7
Cumberland,32.2,33.3,41.5,51.1,61.3,70.0,74.9,73.3,67.0,55.8,45.2,35.6
Essex,29.2,30.4,38.9,49.8,60.2,69.1,74.2,72.2,65.3,54.1,43.4,33.2
Gloucester,31.9,33.1,41.7,51.8,62.3,71.0,75.9,74.0,67.4,56.1,45.2,35.5
Hudson,31.0,31.8,40.1,50.5,61.1,70.3,75.6,73.8,67.0,55.9,45.0,35.0
Hunterdon,27.3,28.7,37.7,48.4,58.8,67.5,72.3,70.3,63.6,52.4,41.4,31.1
Mercer,30.1,31.3,40.0,50.2,60.7,69.5,74.4,72.4,65.8,54.4,43.7,33.8
Middlesex,30.2,31.3,39.8,50.1,60.6,69.5,74.5,72.6,65.9,54.7,43.9,34.0
Monmouth,30.7,31.7,39.9,49.8,60.3,69.3,74.4,72.7,66.1,55.0,44.2,34.5
Morris,26.5,27.9,36.8,47.9,58.3,66.7,71.5,69.7,62.9,51.9,41.0,30.5
Ocean,31.5,32.5,40.2,49.7,60.0,69.0,74.1,72.6,66.3,55.2,44.8,35.2
Passaic,26.6,27.9,36.7,48.0,58.6,66.9,71.8,70.0,63.1,52.1,41.2,30.8
Salem,32.1,33.2,41.9,51.9,62.3,71.0,75.9,74.0,67.5,56.2,45.3,35.6
Somerset,28.6,30.0,38.7,49.3,59.7,68.5,73.4,71.5,64.7,53.4,42.5,32.4
Sussex,24.7,26.1,35.2,46.8,57.4,65.7,70.5,68.5,61.6,50.6,39.5,28.9
Union,29.9,31.0,39.5,50.1,60.5,69.5,74.6,72.7,65.9,54.6,43.8,33.8
Warren,25.5,27.0,36.2,47.3,58.0,66.4,71.2,69.1,62.3,51.1,40.0,29.5
NJ (Statewide),29.8,31.0,39.5,49.7,60.1,68.8,73.8,72.0,65.4,54.3,43.5,33.6